Column1;id;Municipality;City;Region;old;annotations
230;1348;Esbjerg Kommune;Andrup;Region Syddanmark;Agedrup;0
713;1651;Horsens Kommune;Brædstrup;Region Midtjylland;Braedstrup;1
181;90;Brønderslev Kommune;Brønderslev;Region Nordjylland;Bronderslev;1
978;1234;Middelfart Kommune;Føns;Region Syddanmark;Fanø;0
434;1219;Gribskov Kommune;Græsted;Region Hovedstaden;Graested;1
137;2;Ballerup Kommune;Ballerup;Region Hovedstaden;Hellerup;0
374;1708;Frederikssund Kommune;Vellerup;Region Hovedstaden;Hellerup;0
292;1363;Favrskov Kommune;Hvorslev;Region Midtjylland;Hojslev;2
1370;978;Skive Kommune;Roslev;Region Midtjylland;Hojslev;2
1381;186;Skive Kommune;Højslev;Region Midtjylland;Hojslev;1
808;1520;Kalundborg Kommune;Høng;Region Sjælland;Hong;1
1775;44;Vordingborg Kommune;Køng;Region Sjælland;Hong;2
299;1165;Favrskov Kommune;Hadbjerg;Region Midtjylland;Højbjerg;0
1378;1671;Skive Kommune;Rønbjerg;Region Midtjylland;Højbjerg;0
443;31;Gribskov Kommune;Kagerup;Region Hovedstaden;Kastrup;0
725;209;Høje-Taastrup Kommune;Taastrup;Region Hovedstaden;Kastrup;0
1163;2652;Randers Kommune;Langå;Region Midtjylland;Langaa;1
1707;389;Vesthimmerlands Kommune;Løgstør;Region Nordjylland;Logstor;1
105;216;Allerød Kommune;Lynge;Region Hovedstaden;Lyngby;0
387;421;Frederikssund Kommune;Kyndby;Region Hovedstaden;Lyngby;0
1155;3543;Randers Kommune;Hørning;Region Midtjylland;Løsning;0
1353;1170;Skanderborg Kommune;Hørning;Region Midtjylland;Løsning;0
92;478;Aarhus Kommune;Mårslet;Region Midtjylland;Marslet;1
1210;1183;Rebild Kommune;Nørager;Region Nordjylland;Norager;1
469;1825;Guldborgsund Kommune;Nørre Alslev;Region Sjælland;Norre Alslev;1
39;4057;Aalborg Kommune;Nørresundby;Region Nordjylland;Norresundby;1
398;314;Furesø Kommune;Farum;Region Hovedstaden;Nærum;0
420;1516;Gribskov Kommune;Esrum;Region Hovedstaden;Nærum;0
421;1813;Gribskov Kommune;Mårum;Region Hovedstaden;Nærum;0
701;958;Horsens Kommune;Vestbirk;Region Midtjylland;Ostbirk;2
706;1948;Horsens Kommune;Østbirk;Region Midtjylland;Ostbirk;1
1231;1371;Ringkøbing-Skjern Kommune;Ringkøbing;Region Midtjylland;Ringkobing;1
1497;1955;Syddjurs Kommune;Rodskov;Region Midtjylland;Risskov;0
453;2518;Guldborgsund Kommune;Sakskøbing;Region Sjælland;Sakskobing;1
83;1072;Aarhus Kommune;Studstrup;Region Midtjylland;Skødstrup;0
274;62;Fanø Kommune;Sønderho;Region Syddanmark;Sonderso;2
1031;252;Nordfyns Kommune;Søndersø;Region Syddanmark;Sonderso;1
1162;2058;Randers Kommune;Spentrup;Region Midtjylland;Spøttrup;0
466;2914;Guldborgsund Kommune;Stubbekøbing;Region Sjælland;Stubbekobing;1
1184;276;Randers Kommune;Tvede;Region Midtjylland;Tjele;0
1358;81;Skanderborg Kommune;Sjelle;Region Midtjylland;Tjele;0
295;2452;Favrskov Kommune;Norring;Region Midtjylland;Torring;2
541;976;Hedensted Kommune;Tørring;Region Midtjylland;Torring;1
545;2461;Hedensted Kommune;Korning;Region Midtjylland;Torring;2
574;862;Herning Kommune;Timring;Region Midtjylland;Torring;2
738;776;Ikast-Brande Kommune;Bording;Region Midtjylland;Torring;2
1093;473;Odder Kommune;Torrild;Region Midtjylland;Torring;2
1325;475;Silkeborg Kommune;Sorring;Region Midtjylland;Torring;2
1329;2554;Silkeborg Kommune;Thorning;Region Midtjylland;Torring;2
1348;1962;Skanderborg Kommune;Virring;Region Midtjylland;Torring;2
1352;2358;Skanderborg Kommune;Storring;Region Midtjylland;Torring;2
89;676;Aarhus Kommune;Tranbjerg;Region Midtjylland;Tranbjerg J;1
476;142;Guldborgsund Kommune;Toreby;Region Sjælland;Tureby;0
1279;326;Roskilde Kommune;Veddelev;Region Sjælland;Vemmelev;0
570;664;Herning Kommune;Vind;Region Midtjylland;Viby;2
655;924;Holbæk Kommune;Udby;Region Sjælland;Viby;2
798;1718;Kalundborg Kommune;Ubby;Region Sjælland;Viby;2
805;728;Kalundborg Kommune;Sæby;Region Sjælland;Viby;2
810;629;Kalundborg Kommune;Årby;Region Sjælland;Viby;2
851;225;Køge Kommune;Ejby;Region Sjælland;Viby;2
877;733;Lejre Kommune;Sæby;Region Sjælland;Viby;2
878;931;Lejre Kommune;Ejby;Region Sjælland;Viby;2
1128;527;Odsherred Kommune;Vig;Region Sjælland;Viby;2
1266;1316;Roskilde Kommune;Viby;Region Sjælland;Viby;1
1506;2351;Syddjurs Kommune;Søby;Region Midtjylland;Viby;2
1780;2123;Vordingborg Kommune;Udby;Region Sjælland;Viby;2
1245;1569;Ringkøbing-Skjern Kommune;Videbæk;Region Midtjylland;Videbaek;1
398;314;Furesø Kommune;Farum;Region Hovedstaden;Virum;0
420;1516;Gribskov Kommune;Esrum;Region Hovedstaden;Virum;0
421;1813;Gribskov Kommune;Mårum;Region Hovedstaden;Virum;0
