,0
1,Bagsværd
3,Bjert
4,Brabrand
6,Broby
8,Brøndby Strand
9,Charlottenlund
10,Dyssegård
11,Egå
13,Fårevejle
15,Hasselager
18,Holmegaard
19,Holte
22,Jerslev Sj
23,Karlslunde
25,Kokkedal
27,Lemvig
29,Lunderskov
36,Nykøbing Falster
41,Rungsted Kyst
42,Rødvig Stevns
44,Skovlunde
46,Smorum
50,Sydals
51,Thyholm
56,Vallensbæk Strand
57,Vedbæk
62,Ålsgårde
63,Ølstykke
0,Agedrup
3,Fanø
5,Hellerup
6,Hellerup
12,Højbjerg
13,Højbjerg
14,Kastrup
15,Kastrup
18,Lyngby
19,Lyngby
20,Løsning
21,Løsning
26,Nærum
27,Nærum
28,Nærum
32,Risskov
34,Skødstrup
37,Spøttrup
39,Tjele
40,Tjele
52,Tureby
53,Vemmelev
67,Virum
68,Virum
69,Virum
